Stage,Lake Area (acres),Volume
3880.8,18908,327000
3880.9,18944,329000
3881.0,18980,331000
3881.1,19016,332800
3881.2,19052,334600
3881.3,19088,336400
3881.4,19124,338200
3881.5,19160,340000
3881.6,19196,342000
3881.7,19232,344000
3881.8,19268,346000
3881.9,19304,348000
3882.0,19340,350000
3882.1,19376,352000
3882.2,19412,354000
3882.3,19448,356000
3882.4,19484,358000
3882.5,19520,360000
3882.6,19556,362000
3882.7,19592,364000
3882.8,19628,366000
3882.9,19664,368000
3883.0,19700,370000
3883.1,19734,371800
3883.2,19768,373600
3883.3,19802,375400
3883.4,19836,377200
3883.5,19870,379000
3883.6,19906,381000
3883.7,19942,383000
3883.8,19978,385000
3883.9,20014,387000
3884.0,20050,389000
3884.1,20084,391000
3884.2,20118,393000
3884.3,20152,395000
3884.4,20186,397000
3884.5,20220,399000
3884.6,20254,401200
3884.7,20288,403400
3884.8,20322,405600
3884.9,20356,407800
3885.0,20390,410000
3885.1,20424,412000
3885.2,20458,414000
3885.3,20492,416000
3885.4,20526,418000
3885.5,20560,420000
3885.6,20594,422000
3885.7,20628,424000
3885.8,20662,426000
3885.9,20696,428000
3886.0,20730,430000
3886.1,20764,432000
3886.2,20798,434000
3886.3,20832,436000
3886.4,20866,438000
3886.5,20900,440000
3886.6,20934,442200
3886.7,20968,444400
3886.8,21002,446600
3886.9,21036,448800
3887.0,21070,451000
3887.1,21104,453200
3887.2,21138,455400
3887.3,21172,457600
3887.4,21206,459800
3887.5,21240,462000
3887.6,21272,464000
3887.7,21304,466000
3887.8,21336,468000
3887.9,21368,470000
3888.0,21400,472000
3888.1,21432,474200
3888.2,21464,476400
3888.3,21496,478600
3888.4,21528,480800
3888.5,21560,483000
3888.6,21592,485200
3888.7,21624,487400
3888.8,21656,489600
3888.9,21688,491800
3889.0,21720,494000
3889.1,21752,496200
3889.2,21784,498400
3889.3,21816,500600
3889.4,21848,502800
3889.5,21880,505000
3889.6,21912,507200
3889.7,21944,509400
3889.8,21976,511600
3889.9,22008,513800
3890.0,22040,516000
3890.1,22072,518200
3890.2,22104,520400
3890.3,22136,522600
3890.4,22168,524800
3890.5,22200,527000
3890.6,22232,529200
3890.7,22264,531400
3890.8,22296,533600
3890.9,22328,535800
3891.0,22360,538000
3891.1,22394,540200
3891.2,22428,542400
3891.3,22462,544600
3891.4,22496,546800
3891.5,22530,549000
3891.6,22560,551200
3891.7,22590,553400
3891.8,22620,555600
3891.9,22650,557800
3892.0,22680,560000
3892.1,22710,562400
3892.2,22740,564800
3892.3,22770,567200
3892.4,22800,569600
3892.5,22830,572000
3892.6,22860,574200
3892.7,22890,576400
3892.8,22920,578600
3892.9,22950,580800
3893.0,22980,583000
3893.1,23010,585400
3893.2,23040,587800
3893.3,23070,590200
3893.4,23100,592600
3893.5,23130,595000
3893.6,23160,597200
3893.7,23190,599400
3893.8,23220,601600
3893.9,23250,603800
3894.0,23280,606000
3894.1,23308,608400
3894.2,23336,610800
3894.3,23364,613200
3894.4,23392,615600
3894.5,23420,618000
3894.6,23448,620400
3894.7,23476,622800
3894.8,23504,625200
3894.9,23532,627600
3895.0,23560,630000
3895.1,23588,632400
3895.2,23616,634800
3895.3,23644,637200
3895.4,23672,639600
3895.5,23700,642000
3895.6,23730,644400
3895.7,23760,646800
3895.8,23790,649200
3895.9,23820,651600
3896.0,23850,654000
3896.1,23878,656400
3896.2,23906,658800
3896.3,23934,661200
3896.4,23962,663600
3896.5,23990,666000
3896.6,24018,668400
3896.7,24046,670800
3896.8,24074,673200
3896.9,24102,675600
3897.0,24130,678000
3897.1,24156,680400
3897.2,24182,682800
3897.3,24208,685200
3897.4,24234,687600
3897.5,24260,690000
3897.6,24290,692400
3897.7,24320,694800
3897.8,24350,697200
3897.9,24380,699600
3898.0,24410,702000
3898.1,24438,704400
3898.2,24466,706800
3898.3,24494,709200
3898.4,24522,711600
3898.5,24550,714000
3898.6,24578,716400
3898.7,24606,718800
3898.8,24634,721200
3898.9,24662,723600
3899.0,24690,726000
3899.1,24718,728600
3899.2,24746,731200
3899.3,24774,733800
3899.4,24802,736400
3899.5,24830,739000
3899.6,24858,741400
3899.7,24886,743800
3899.8,24914,746200
3899.9,24942,748600
3900.0,24970,751000
3900.1,24998,753600
3900.2,25026,756200
3900.3,25054,758800
3900.4,25082,761400
3900.5,25110,764000
3900.6,25140,766400
3900.7,25170,768800
3900.8,25200,771200
3900.9,25230,773600
3901.0,25260,776000
3901.1,25288,778600
3901.2,25316,781200
3901.3,25344,783800
3901.4,25372,786400
3901.5,25400,789000
3901.6,25428,791600
3901.7,25456,794200
3901.8,25484,796800
3901.9,25512,799400
3902.0,25540,802000
3902.1,25568,804400
3902.2,25596,806800
3902.3,25624,809200
3902.4,25652,811600
3902.5,25680,814000
3902.6,25706,816600
3902.7,25732,819200
3902.8,25758,821800
3902.9,25784,824400
3903.0,25810,827000
3903.1,25836,829600
3903.2,25862,832200
3903.3,25888,834800
3903.4,25914,837400
3903.5,25940,840000
3903.6,25966,842600
3903.7,25992,845200
3903.8,26018,847800
3903.9,26044,850400
3904.0,26070,853000
3904.1,26096,855600
3904.2,26122,858200
3904.3,26148,860800
3904.4,26174,863400
3904.5,26200,866000
3904.6,26226,868800
3904.7,26252,871600
3904.8,26278,874400
3904.9,26304,877200
3905.0,26330,880000
3905.1,26354,882600
3905.2,26378,885200
3905.3,26402,887800
3905.4,26426,890400
3905.5,26450,893000
3905.6,26476,895600
3905.7,26502,898200
3905.8,26528,900800
3905.9,26554,903400
3906.0,26580,906000
3906.1,26604,908600
3906.2,26628,911200
3906.3,26652,913800
3906.4,26676,916400
3906.5,26700,919000
3906.6,26724,921800
3906.7,26748,924600
3906.8,26772,927400
3906.9,26796,930200
3907.0,26820,933000
3907.1,26844,935600
3907.2,26868,938200
3907.3,26892,940800
3907.4,26916,943400
3907.5,26940,946000
3907.6,26962,948800
3907.7,26984,951600
3907.8,27006,954400
3907.9,27028,957200
3908.0,27050,960000
3908.1,27072,962600
3908.2,27094,965200
3908.3,27116,967800
3908.4,27138,970400
3908.5,27160,973000
3908.6,27182,975800
3908.7,27204,978600
3908.8,27226,981400
3908.9,27248,984200
3909.0,27270,987000
3909.1,27292,989600
3909.2,27314,992200
3909.3,27336,994800
3909.4,27358,997400
3909.5,27380,1000000
3909.6,27402,1002800
3909.7,27424,1005600
3909.8,27446,1008400
3909.9,27468,1011200
3910.0,27490,1014000
3910.1,27512,1016800
3910.2,27534,1019600
3910.3,27556,1022400
3910.4,27578,1025200
3910.5,27600,1028000
3910.6,27620,1030800
3910.7,27640,1033600
3910.8,27660,1036400
3910.9,27680,1039200
3911.0,27700,1042000
3911.1,27722,1044800
3911.2,27744,1047600
3911.3,27766,1050400
3911.4,27788,1053200
3911.5,27810,1056000
3911.6,27830,1058800
3911.7,27850,1061600
3911.8,27870,1064400
3911.9,27890,1067200
3912.0,27910,1070000
3912.1,27930,1072800
3912.2,27950,1075600
3912.3,27970,1078400
3912.4,27990,1081200
3912.5,28010,1084000
3912.6,28028,1086800
3912.7,28046,1089600
3912.8,28064,1092400
3912.9,28082,1095200
3913.0,28100,1098000
3913.1,28120,1100800
3913.2,28140,1103600
3913.3,28160,1106400
3913.4,28180,1109200
3913.5,28200,1112000
3913.6,28220,1114800
3913.7,28240,1117600
3913.8,28260,1120400
3913.9,28280,1123200
3914.0,28300,1126000
3914.1,28320,1128800
3914.2,28340,1131600
3914.3,28360,1134400
3914.4,28380,1137200
3914.5,28400,1140000
3914.6,28420,1142800
3914.7,28440,1145600
3914.8,28460,1148400
3914.9,28480,1151200
3915.0,28500,1154000
3915.1,28518,1156800
3915.2,28536,1159600
3915.3,28554,1162400
3915.4,28572,1165200
3915.5,28590,1168000
